Player,KTC Value
Josh Allen,9996
Patrick Mahomes,9993
Justin Herbert,9790
Ja'Marr Chase,8701
Jonathan Taylor,8602
Justin Jefferson,8559
Joe Burrow,8369
Lamar Jackson,7645
Kyler Murray,7510
Kyle Pitts,6805
Javonte Williams,6787
Deshaun Watson,6782
Najee Harris,6332
Dak Prescott,6309
D'Andre Swift,6169
A.J. Brown,6013
CeeDee Lamb,5960
Cooper Kupp,5911
2023 Early 1st,5910
Jaylen Waddle,5872
Trey Lance,5856
Breece Hall,5826
DK Metcalf,5805
Christian McCaffrey,5779
Deebo Samuel,5753
Russell Wilson,5739
Mark Andrews,5685
Tee Higgins,5684
Trevor Lawrence,5664
Stefon Diggs,5474
Davante Adams,5429
Justin Fields,5371
Joe Mixon,5368
Austin Ekeler,5314
Tyreek Hill,5306
2022 Early 1st,5272
D.J. Moore,5255
Matthew Stafford,5242
Diontae Johnson,5123
2023 Mid 1st,5112
Antonio Gibson,5076
Dalvin Cook,5057
Jalen Hurts,5021
Nick Chubb,5008
Chris Godwin,5003
DeVonta Smith,4976
J.K. Dobbins,4948
Elijah Moore,4941
Travis Etienne,4940
Malik Willis,4938
Alvin Kamara,4906
George Kittle,4892
Terry McLaurin,4890
Aaron Rodgers,4889
Saquon Barkley,4875
Garrett Wilson,4845
Drake London,4803
Jerry Jeudy,4802
Mac Jones,4801
Derek Carr,4798
Michael Pittman,4795
Derrick Henry,4779
Cam Akers,4773
Tua Tagovailoa,4760
Treylon Burks,4750
T.J. Hockenson,4743
2022 Mid 1st,4737
Zach Wilson,4732
Kenneth Walker III,4727
Travis Kelce,4726
2024 Early 1st,4699
2023 Late 1st,4641
David Montgomery,4617
Josh Jacobs,4606
Mike Evans,4576
AJ Dillon,4491
Jameson Williams,4397
Amon-Ra St. Brown,4383
Keenan Allen,4347
Elijah Mitchell,4339
Darren Waller,4338
Amari Cooper,4318
Courtland Sutton,4307
Chris Olave,4293
DeAndre Hopkins,4262
Marquise Brown,4236
Brandon Aiyuk,4213
2022 Late 1st,4200
2024 Mid 1st,4192
Rashod Bateman,4169
Aaron Jones,4153
Kirk Cousins,4131
Darnell Mooney,4131
Mike Williams,4107
Leonard Fournette,4107
Chase Claypool,4084
Michael Carter,4057
Pat Freiermuth,3807
JuJu Smith-Schuster,3802
Ezekiel Elliott,3771
Kenny Pickett,3755
James Conner,3713
2024 Late 1st,3689
Dallas Goedert,3632
Kadarius Toney,3584
Ryan Tannehill,3577
Hunter Renfrow,3569
Isaiah Spiller,3519
Brandin Cooks,3486
Davis Mills,3479
Allen Robinson,3473
Michael Thomas,3465
Michael Gallup,3444
Dalton Schultz,3433
George Pickens,3426
Tom Brady,3422
2023 Early 2nd,3399
Damien Harris,3375
Matt Corral,3354
Tony Pollard,3347
Kareem Hunt,3269
Gabriel Davis,3263
Clyde Edwards-Helaire,3253
Miles Sanders,3240
2022 Early 2nd,3238
Rondale Moore,3205
Christian Kirk,3146
Dawson Knox,3114
Mike Gesicki,3078
Jameis Winston,3063
2023 Mid 2nd,3026
Desmond Ridder,3008
Jahan Dotson,3007
Tyler Lockett,2985
Albert Okwuegbunam,2965
Rashaad Penny,2947
Noah Fant,2946
Sam Howell,2898
Chase Edmonds,2894
2022 Mid 2nd,2862
Rhamondre Stevenson,2855
James Robinson,2848
Calvin Ridley,2847
Daniel Jones,2838
Cole Kmet,2838
Matt Ryan,2792
Christian Watson,2782
Skyy Moore,2774
2024 Early 2nd,2754
Carson Wentz,2704
Baker Mayfield,2685
Mitchell Trubisky,2668
D.J. Chark,2653
Alexander Mattison,2618
Robert Woods,2609
Adam Thielen,2604
2023 Late 2nd,2564
Devin Singletary,2546
Odell Beckham,2524
Jared Goff,2522
Tyler Boyd,2506
Jakobi Meyers,2500
Irv Smith Jr.,2486
Jimmy Garoppolo,2485
Darrell Henderson,2453
Marcus Mariota,2451
Ronald Jones,2426
2024 Mid 2nd,2397
Melvin Gordon,2385
Khalil Herbert,2374
David Njoku,2365
2022 Late 2nd,2363
Donovan Peoples-Jones,2327
Russell Gage,2304
Zamir White,2303
Zach Ertz,2302
Laviska Shenault,2298
Kenneth Gainwell,2280
David Bell,2271
Rachaad White,2266
Cordarrelle Patterson,2258
Nico Collins,2256
Marquez Valdes-Scantling,2241
Allen Lazard,2178
Hunter Henry,2138
2024 Late 2nd,2092
DeVante Parker,2082
John Metchie,2077
Curtis Samuel,2071
James Cook,2071
Corey Davis,2056
Tim Patrick,2052
Josh Palmer,2042
Van Jefferson,2041
Jordan Love,1959
Kenny Golladay,1882
Jarvis Landry,1879
K.J. Osborn,1873
Will Fuller,1867
Mecole Hardman,1855
Chuba Hubbard,1834
Trey McBride,1814
Trey Sermon,1813
Terrace Marshall,1810
Brevin Jordan,1771
2023 Early 3rd,1685
Nyheim Hines,1668
Chris Carson,1656
2022 Early 3rd,1622
Evan Engram,1614
Gus Edwards,1613
Amari Rodgers,1613
Justyn Ross,1600
KJ Hamler,1593
J.D. McKissic,1590
Drew Lock,1564
Tyler Higbee,1557
Carson Strong,1552
Tyler Huntley,1529
Cedrick Wilson,1520
Brian Robinson,1517
Kendrick Bourne,1515
D'Ernest Johnson,1507
2023 Mid 3rd,1490
Sam Darnold,1488
Kyren Williams,1456
Wan'Dale Robinson,1454
Jamaal Williams,1414
Marquez Callaway,1407
Robert Tonyan,1398
Dameon Pierce,1386
Sony Michel,1385
Gerald Everett,1381
Gardner Minshew,1378
Robby Anderson,1349
Bryan Edwards,1346
Ke'Shawn Vaughn,1343
Eno Benjamin,1337
Parris Campbell,1333
Raheem Mostert,1332
Braxton Berrios,1331
Adam Trautman,1330
Rob Gronkowski,1327
2022 Mid 3rd,1326
2024 Early 3rd,1308
D'Onta Foreman,1297
Jaret Patterson,1290
2022 Late 3rd,1287
Jonnu Smith,1277
Dyami Brown,1277
Logan Thomas,1276
C.J. Uzomah,1271
Jamison Crowder,1269
Donald Parham,1268
Harrison Bryant,1267
2023 Late 3rd,1267
Kyle Trask,1235
Chris Evans,1232
Tyler Allgeier,1231
Anthony Schwartz,1229
Austin Hooper,1226
Olamide Zaccheaus,1210
James Washington,1207
Myles Gaskin,1200
2024 Mid 3rd,1196
Quintez Cephus,1190
Zay Jones,1189
Julio Jones,1183
Zack Moss,1183
Quez Watkins,1183
Jalen Guyton,1180
Kenyan Drake,1159
Noah Gray,1150
Tre'Quan Smith,1142
Tommy Tremble,1134
Darrel Williams,1133
Tyler Johnson,1124
Jermar Jefferson,1124
Teddy Bridgewater,1121
Foster Moreau,1119
Marlon Mack,1099
D'Wayne Eskridge,1082
Alec Pierce,1080
Sterling Shepard,1078
Deonte Harris,1078
Ihmir Smith-Marsette,1077
Hayden Hurst,1073
Kellen Mond,1069
Justin Jackson,1067
Jalen Tolbert,1053
O.J. Howard,1051
2024 Late 3rd,1050
Darius Slayton,1041
Dan Arnold,1040
Tyler Conklin,1029
Calvin Austin III,1027
Marvin Jones,1025
Kene Nwangwu,1011
Jeffery Wilson,1005
Taysom Hill,995
Hunter Long,995
Josh Reynolds,991
Jalen Wydermyer,989
Kylen Granson,978
Jalen Reagor,953
Demetric Felton,951
Devin Duvernay,944
Jerome Ford,939
Nick Westbrook-Ikhine,937
Boston Scott,930
Taylor Heinicke,929
Byron Pringle,922
Pierre Strong Jr.,920
2022 Early 4th,917
Tyler Badie,917
2023 Early 4th,904
Tre' McKitty,902
Joshua Kelley,888
Kylin Hill,886
Equanimeous St. Brown,875
Khalil Shakir,854
DeeJay Dallas,853
Tutu Atwell,853
Zach Pascal,850
Mo Alie-Cox,850
Denzel Mims,845
Samaje Perine,836
Nelson Agholor,818
Ty Johnson,801
Jerick McKinnon,798
Jaelon Darden,796
Hassan Haskins,774
Tony Jones,765
2022 Mid 4th,757
Larry Rountree,752
2023 Mid 4th,751
Hunter Bryant,745
Kevin Harris,730
Isaiah Likely,724
2024 Early 4th,708
Tylan Wallace,703
Darrynton Evans,682
James White,675
JaMycal Hasty,671
Jamal Agnew,669
Tyrod Taylor,667
Scott Miller,662
Auden Tate,661
N'Keal Harry,644
Jacob Harris,641
Ricky Seals-Jones,632
Laquon Treadwell,627
Sincere McCormick,625
Rashard Higgins,614
Zonovan Knight,612
Preston Williams,595
J.J. Taylor,591
Demarcus Robinson,588
Kalif Raymond,585
Jerrion Ealy,583
Damien Williams,580
Blake Jarwin,574
Ty'Son Williams,564
Will Dissly,563
Juwan Johnson,560
2023 Late 4th,555
Dontrell Hilliard,543
Cole Beasley,536
Duke Johnson,532
2024 Mid 4th,524
Matt Breida,520
Jeremy Ruckert,519
Ian Thomas,516
Lynn Bowden,510
2022 Late 4th,499
Anthony Firkser,497
A.J. Green,489
Romeo Doubs,488
Travis Homer,469
Jacoby Brissett,467
Miles Boykin,456
Jelani Woods,455
Sam Ehlinger,449
Kennedy Brooks,446
Bailey Zappe,439
Salvon Ahmed,435
Brock Purdy,429
Sammy Watkins,425
Anthony McFarland,408
Mike Strachan,396
Drew Sample,388
Andy Isabella,384
Phillip Lindsay,376
Mike Davis,372
Lil'Jordan Humphrey,366
Justice Hill,365
Olabisi Johnson,359
Jauan Jennings,339
Abram Smith,337
2024 Late 4th,331
Mason Rudolph,328
Lamical Perine,324
Shi Smith,311
Jordan Howard,302
Max Borghi,299
Tyquan Thornton,294
Keelan Cole,288
Antonio Brown,281
Trayveon Williams,261
Brycen Hopkins,260
Cameron Brate,253
Tyree Jackson,251
CJ Verdell,244
Emmanuel Sanders,241
Snoop Conner,240
Xavier Jones,233
Trent Sherfield,228
Tarik Cohen,223
Randall Cobb,222
Alex Collins,220
Giovani Bernard,212
Dontario Drummond,193
Collin Johnson,190
T.Y. Hilton,182
Eric Ebron,171
Chris Herndon,170
Keaontay Ingram,168
Devontae Booker,156
Kevin Austin,155
David Moore,148
Adam Humphries,143
Dare Ogunbowale,141
Leddie Brown,133
Rex Burkhead,131
Tevin Coleman,130
Joe Reed,107
Jacob Eason,104
David Johnson,92
Jake Funk,92
Kelvin Harmon,89
Mike White,89
Greg Dortch,86
Mark Ingram,82
Devonta Freeman,82
Chris Conley,80
Josh Gordon,72
Cam Newton,67
Jared Cook,63
Josh Adams,62
Kahale Warring,60
Ryan Fitzpatrick,59
Erik Ezukanma,57
Josh Oliver,55
Slade Bolden,50
Jordan Wilkins,47
Jeremy McNichols,46
Latavius Murray,44
Ameer Abdullah,42
Wayne Gallman,35
Jacob Hollister,29
Devine Ozigbo,27
Juwann Winfree,23
Damarea Crockett,19
Josh Doctson,11
Emanuel Hall,11
Kenneth Dixon,0
Mike Weber,0
